Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2012,54,virtusa,50,0,1.0
2012,54,nest,50,1,0.9803921568627451
2018,61,univ of aama at birmingham,50,2,0.9615384615384616
2013,61,indiana univ,50,0,1.0
2012,54,oak ridge d universities,50,0,1.0
2015,61,the univ of georgia oie,50,0,1.0
2018,54,dana farber cancer institute,50,3,0.9433962264150944
2016,61,indiana univ,50,2,0.9615384615384616
2014,54,infosy,50,6,0.8928571428571429
2012,54,it,50,3,0.9433962264150944
2016,61,the  of arizona,50,2,0.9615384615384616
2014,62,uhcp dba upmc mep,50,0,1.0
2014,54,ait,50,0,1.0
2014,52,credit suisse securities,50,0,1.0
2014,54,softpath,50,15,0.7692307692307693
2014,61,vanderbilt univ,50,0,1.0
2013,62,uhcp dba upmc mep,50,2,0.9615384615384616
2013,54,avco,50,3,0.9433962264150944
2015,54,8k milesware,50,1,0.9803921568627451
2014,54,orasys,50,1,0.9803921568627451
2019,61,trustees of boston,50,3,0.9433962264150944
2017,52,goldman sachs,50,2,0.9615384615384616
2019,61,univ of connecticut ofc of the gen,50,0,1.0
2013,54,idexcel,50,2,0.9615384615384616
2019,61,va polynic inst  state univ d,50,0,1.0
2016,54,zs,50,1,0.9803921568627451
2013,54,tibcoware,50,0,1.0
2012,33,cummins emission,50,0,1.0
2017,54,benefitalign,50,12,0.8064516129032258
2015,33,motorola mobility,50,0,1.0
2012,54,experis manpower professional serv,50,0,1.0
2019,33,hermes microvision,49,2,0.9607843137254902
2019,51,ansys,49,1,0.98
2014,33,sandisk,49,0,1.0
2012,54,hitachi consware,49,4,0.9245283018867925
2016,54,netapp,49,1,0.98
2016,54,argha,49,1,0.98
2013,51,zynga,49,0,1.0
2013,54,adobe,49,0,1.0
2015,54,samsung research,49,0,1.0
2017,61,iowa state  of science a,49,0,1.0
2018,54,lawrence berkeley national orat,49,0,1.0
2013,52,credit suisse securities,49,0,1.0
2012,52,deutsche bank securities,49,0,1.0
2017,54,yash,49,5,0.9074074074074074
2017,52,citibank na,49,1,0.98
2018,33,western,49,1,0.98
2014,54,jean martin,49,1,0.98
2016,54,dizer,49,4,0.9245283018867925
2013,54,programmer  intl,49,1,0.98
2014,33,qualcomm atheros,49,0,1.0
2019,62,montefiore medical center,49,0,1.0
2016,54,persistent,49,4,0.9245283018867925
2017,61,of california berkeley,49,1,0.98
2014,54,cggveritas,49,1,0.98
2013,61,univ of mo columbia,49,0,1.0
2019,54,paycom payroll,49,0,1.0
2016,52,state street bank and trust co,49,0,1.0
2019,61,carnegie mellon,49,1,0.98
2013,33,seagate,49,0,1.0
2014,54,dana farber cancer institute,49,1,0.98
2018,54,tek,49,26,0.6533333333333333
2016,54,niit,49,1,0.98
2014,54,uchicago argonne,49,0,1.0
2012,54,r,49,2,0.9607843137254902
2018,61,new york univ school of medicine,49,1,0.98
2018,52,anthem,49,2,0.9607843137254902
2016,54,citrix,49,0,1.0
2017,54,amdocs,49,1,0.98
2018,61,the univ of tx m d anderson cancer,49,0,1.0
2019,54,vyzer,48,51,0.48484848484848486
2018,45,staples,48,3,0.9411764705882353
2013,62,heritage care,48,2,0.96
2019,54,nb ventures  dba gep,48,11,0.8135593220338984
2015,61,the univ of arizona,48,1,0.9795918367346939
2017,54,aecom nical,48,0,1.0
2018,54,source,48,20,0.7058823529411765
2015,54,uber,48,1,0.9795918367346939
2014,54,aqua,48,2,0.96
2014,54,horizon,48,17,0.7384615384615385
2016,54,fusion plus,48,13,0.7868852459016393
2012,56,avant healthcare professionals,48,0,1.0
2014,54,2,48,3,0.9411764705882353
2014,54,tibcoware,48,2,0.96
2017,54,citrix,48,2,0.96
2019,61,temple,48,2,0.96
2016,61,case western reserve,48,1,0.9795918367346939
2012,54,twitter,48,0,1.0
2013,61,the trustees of preton univ,48,0,1.0
2013,54,amdocs,48,1,0.9795918367346939
2015,61,univ of nebraska medical ctr,48,1,0.9795918367346939
2013,54,sabre,48,0,1.0
2015,54,cmc,48,0,1.0
2018,54,xavient,48,37,0.5647058823529412
2013,61,north carolina state univ,48,0,1.0
2019,61,w m rice univ,48,0,1.0
2014,54,pyramid,48,0,1.0
2015,54,slk,48,0,1.0
2014,54,infosmart,48,10,0.8275862068965517
2013,54,sqa concepts,48,3,0.9411764705882353
2019,54,miracleware,48,16,0.75
2019,33,hp,48,14,0.7741935483870968
2019,54,red hat,48,2,0.96
2016,56,health carousel,48,0,1.0
2016,54,integration,48,5,0.9056603773584906
2014,54,infogain,48,5,0.9056603773584906
2014,54,suntec bus  private,48,6,0.8888888888888888
2017,61,of miami,48,0,1.0
2014,54,synopsys,48,0,1.0
2013,54,2,48,1,0.9795918367346939
2016,54,ness,47,0,1.0
2015,54,microinfo,47,5,0.9038461538461539
2013,54,natsoft,47,4,0.9215686274509803
2013,54,virtusa,47,1,0.9791666666666666
2012,54,prgm  intl,47,1,0.9791666666666666
2013,54,citrix,47,0,1.0
2014,54,diaspark,47,0,1.0
2012,61,carnegie mellon,47,0,1.0
2012,54,diaspark,47,2,0.9591836734693877
2018,54,juniper,47,3,0.94
2012,52,hsbc bank na,47,0,1.0
2018,33,dell products,47,5,0.9038461538461539
2013,62,st jude children s research hosp,47,0,1.0
2016,54,uchicago argonne,47,1,0.9791666666666666
2018,45,jetcom,47,0,1.0
2019,61,of kentucky,47,0,1.0
2014,61,univ of arkansas for medical scien,47,0,1.0
2012,54,avco,47,0,1.0
2019,54,genen,47,4,0.9215686274509803
2014,61,iowa state univ of science,47,1,0.9791666666666666
2013,54,dynasoft synergy,47,0,1.0
2013,54,genpact,47,1,0.9791666666666666
2012,54,n,47,2,0.9591836734693877
2014,54,vision,47,7,0.8703703703703703
2018,62,brigham and women s hospital,47,0,1.0
2019,54,i5,47,20,0.7014925373134329
2019,54,gm cruise,47,2,0.9591836734693877
2017,54,srs,47,1,0.9791666666666666
2014,54,citrix,47,0,1.0
2019,54,arista,47,2,0.9591836734693877
2015,54,iblesoft,47,5,0.9038461538461539
2015,62,beth israel deaconess med ctr,47,0,1.0
2017,56,airbnb,47,0,1.0
2015,62,henry ford hlth,47,0,1.0
2013,61,univ of maryland baltimore,47,0,1.0
2019,61,the curators of the univ of missou,47,1,0.9791666666666666
2017,51,alcatellucent  dba nokia,47,0,1.0
2019,56,comtrix,47,2,0.9591836734693877
2013,61,univ of nc at chapel hill,47,0,1.0
2019,52,citibank na,47,23,0.6714285714285714
2016,54,sapient,47,0,1.0
2015,61,houston independent school distric,47,1,0.9791666666666666
2018,61,lsu agricultural center,47,0,1.0
2018,33,cadence design,47,1,0.9791666666666666
2015,54,rsware india,47,1,0.9791666666666666
2014,33,texas instruments,47,0,1.0
2015,54,akamai,47,0,1.0
2016,54,lawrence berkeley national orat,47,0,1.0
2015,54,zylog   dba zsl,47,0,1.0
2019,54,logic,47,16,0.746031746031746
2014,54,compuware,47,5,0.9038461538461539
2015,54,twitter,47,1,0.9791666666666666
2014,61,case western reserve univ,47,0,1.0
2014,61,in univ purdue univ indianapolis,47,0,1.0
2014,42,samsung tele,46,1,0.9787234042553191
2013,54,jnit,46,5,0.9019607843137255
2013,33,motorola mobility,46,0,1.0
2018,52,visa,46,0,1.0
2013,61,albert einstein college of medicin,46,3,0.9387755102040817
2015,54,geometric,46,9,0.8363636363636363
2019,54,diaspark,46,1,0.9787234042553191
2019,61,of colorado,46,4,0.92
2012,51,zynga,46,1,0.9787234042553191
2019,54,srs,46,19,0.7076923076923077
2015,61,univ of nc at chapel hill,46,0,1.0
2014,54,eclinicalworks,46,0,1.0
2014,54,sab,46,12,0.7931034482758621
2018,52,aetna,46,1,0.9787234042553191
2017,61,univ of colorado,46,1,0.9787234042553191
2017,54,priple,46,8,0.8518518518518519
2014,54,azimetry,46,1,0.9787234042553191
2016,61,trustees of boston,46,0,1.0
2018,61,univ of ut,46,1,0.9787234042553191
2014,61,univ of virginia,46,0,1.0
2019,33,xilinx,46,1,0.9787234042553191
2016,54,softpath,46,8,0.8518518518518519
2019,54,synapsis,46,15,0.7540983606557377
2015,54,nagarro,46,1,0.9787234042553191
2015,33,dell products,46,0,1.0
2014,54,intone,46,3,0.9387755102040817
2018,54,hewlett packard enterprise,46,0,1.0
2019,61,weill cornell medical college,46,1,0.9787234042553191
2018,61,cornell univ isso,46,0,1.0
2017,61,kansas state univ,46,0,1.0
2012,54,infogain,46,0,1.0
2014,54,tek,46,8,0.8518518518518519
2015,54,nga gr  dba www movers com,46,2,0.9583333333333334
2016,54,altair productdesign,46,3,0.9387755102040817
2017,33,qualcomm atheros,46,4,0.92
2018,54,niit,46,74,0.38333333333333336
2017,61,the univ of texas at austin,46,0,1.0
2013,54,sierra infosys,46,1,0.9787234042553191
2019,54,sony interactive,46,0,1.0
2017,61,of illinois at chicago,46,1,0.9787234042553191
2014,54,nagarro,46,2,0.9583333333333334
2017,61,indiana univ,46,0,1.0
2012,61,univ of colorado at boulder,46,0,1.0
2016,45,sears s management,46,0,1.0
2016,54,delta  ware,46,2,0.9583333333333334
2019,54,kanap,45,32,0.5844155844155844
2017,61,the univ of arizona,45,0,1.0
2014,54,uber,45,1,0.9782608695652174
2014,33,foundries,45,0,1.0
2013,54,cggveritas,45,0,1.0
2013,62,bronx lebanon hosp ctr,45,1,0.9782608695652174
2014,62,st jude children s research hosp,45,0,1.0
2019,54,epitec,45,35,0.5625
2013,54,unified,45,4,0.9183673469387755
2017,61,of nebraska loln,45,1,0.9782608695652174
2013,54,tavant,45,2,0.9574468085106383
2015,54,azimetry,45,3,0.9375
2012,61,california institute of,45,1,0.9782608695652174
2014,54,tringapps,45,2,0.9574468085106383
2017,45,wayfair,45,0,1.0
2013,61,rutgers the state univ of new jers,45,2,0.9574468085106383
2013,54,igt,45,6,0.8823529411764706
2013,54,intraedge,45,2,0.9574468085106383
2018,61,the univ of arizona,45,1,0.9782608695652174
2014,61,of kentucky,45,0,1.0
2013,61,univ of virginia,45,0,1.0
2016,54,nicheware,45,0,1.0
2016,62,st jude children s research hosp,45,1,0.9782608695652174
2013,61,univ of nebraska medical center,45,2,0.9574468085106383
2015,45,on,45,0,1.0
2015,61,trustees of boston,45,1,0.9782608695652174
2014,61,wayne state univ,45,0,1.0
2016,61,washington  in st louis,45,0,1.0
2015,62,st jude children s research hosp,45,0,1.0
2016,54,easi,45,1,0.9782608695652174
2016,54,eclinicalworks,45,1,0.9782608695652174
2012,33,johnson controls,45,0,1.0
2019,52,suntrust banks,45,2,0.9574468085106383
2012,61,wayne state univ,45,0,1.0
2018,32,abbvie,45,3,0.9375
2013,52,worldquant,45,3,0.9375
2016,61,va polynic inst  state univ d,45,0,1.0
2015,54,expedia,45,1,0.9782608695652174
2015,54,dana farber cancer inst,45,0,1.0
2015,61,new york,45,0,1.0
2017,54,detroit engineered products,45,2,0.9574468085106383
2013,61,cosmos foundation,45,0,1.0
2018,54,analysis,45,1,0.9782608695652174
2015,33,alcatellucent,45,0,1.0
2014,61,albert einstein college of medicin,45,0,1.0
2014,54,soft,45,4,0.9183673469387755
2012,54,factset research,45,0,1.0
2019,54,quest,45,13,0.7758620689655172
2016,33,sandisk,45,0,1.0
2016,54,tera operations,45,0,1.0
2012,61,arizona state univ,45,1,0.9782608695652174
2017,33,marvell semiconductor,45,2,0.9574468085106383
2013,33,hgst,45,0,1.0
2013,61,indiana univ purdue univ indianapo,44,1,0.9777777777777777
2019,54,the alliance for sustainable energ,44,0,1.0
2015,54,amdocs,44,1,0.9777777777777777
2018,33,broadcom,44,1,0.9777777777777777
2013,62,comprehab  dba compleat rehab,44,1,0.9777777777777777
2019,54,white  case,44,4,0.9166666666666666
2018,61,va polynic inst  state univ d,44,0,1.0
2012,54,ds,44,9,0.8301886792452831
2012,54,e,44,1,0.9777777777777777
2014,54,agreeya,44,0,1.0
2019,53,we work management,44,6,0.88
2012,54,booz,44,1,0.9777777777777777
2015,61,north carolina state univ,44,0,1.0
2016,61,california institute of,44,0,1.0
2017,61,univ of massachusetts medical scho,44,1,0.9777777777777777
2014,62,heritage care,44,3,0.9361702127659575
2019,61,indiana univ purdue univ indianapo,44,2,0.9565217391304348
2015,52,barclays,44,1,0.9777777777777777
2012,61,the rockefeller univ,44,0,1.0
2016,33,texas instruments,44,0,1.0
2017,51,indeed,44,6,0.88
2018,54,3i,44,23,0.6567164179104478
2017,61,weill cornell medical college,44,2,0.9565217391304348
2019,62,northwell health,44,0,1.0
2015,54,mart,44,2,0.9565217391304348
2016,61,new york,44,1,0.9777777777777777
2016,61,the  of georgia oie,44,1,0.9777777777777777
2017,54,acceligent,44,17,0.7213114754098361
2014,54,agility,44,2,0.9565217391304348
2016,62,montefiore medical ctr,44,1,0.9777777777777777
2019,61,univ of massachusetts amherst,44,2,0.9565217391304348
2014,61,univ of massachusetts medical sch,44,2,0.9565217391304348
2019,56,transunion,44,1,0.9777777777777777
2015,62,brigham and women s hospital,44,1,0.9777777777777777
2016,54,airwatch,44,0,1.0
2014,62,montefiore medical center,44,0,1.0
2016,61,w m rice,44,0,1.0
2016,54,satin,44,1,0.9777777777777777
2014,61,of baltimore,44,3,0.9361702127659575
2018,56,airbnb,44,0,1.0
2012,54,epam,44,0,1.0
2012,61,rutgers the state univ of nj,44,0,1.0
2018,33,ericsson,44,0,1.0
2012,52,worldquant,44,1,0.9777777777777777
2014,52,fidelity investments,44,0,1.0
2018,54,synopsys,44,2,0.9565217391304348
2016,61,of notre dame du lac,44,0,1.0
2013,62,beth israel deaconess med ctr,44,1,0.9777777777777777
2015,52,deutsche bank securities,44,1,0.9777777777777777
2015,54,atos and,44,1,0.9777777777777777
2015,54,altair productdesign,44,0,1.0
2012,54,brookhaven national,44,0,1.0
2012,33,klatencor,44,0,1.0
2015,54,logic planet,44,3,0.9361702127659575
2013,54,national instruments,44,0,1.0
2014,54,apps,44,2,0.9565217391304348
2014,54,iq spectra,44,1,0.9777777777777777
2019,33,dehid b a aptiv,44,1,0.9777777777777777
2017,61,trustees of boston univ,44,0,1.0
2019,54,vista applied,43,9,0.8269230769230769
2016,61,temple univ,43,0,1.0
2017,61,purdue,43,0,1.0
2017,54,yanaware,43,0,1.0
2019,54,california creative,43,16,0.7288135593220338
2014,33,dell products,43,0,1.0
2016,61,of miami,43,1,0.9772727272727273
2014,61,trustees of boston univ,43,0,1.0
2013,61,georgetown univ,43,0,1.0
2013,61,va polynic inst  state univ d,43,0,1.0
2016,33,hughes,43,0,1.0
2017,33,klatencor,43,8,0.8431372549019608
2013,61,the rockefeller,43,0,1.0
2013,61,of colorado boulder,43,0,1.0
2013,54,intone,43,11,0.7962962962962963
2015,52,discover products,43,0,1.0
2016,54,aricent  s,43,3,0.9347826086956522
2015,61,rensselaer polynic institute,43,1,0.9772727272727273
2012,54,sysintelli,43,1,0.9772727272727273
2018,61,weill cornell medical college,43,0,1.0
2019,54,fpt,43,8,0.8431372549019608
2016,54,numen,43,4,0.9148936170212766
2019,52,wells fargo bank na,43,1,0.9772727272727273
2019,61,the  of georgia oie,43,3,0.9347826086956522
2016,54,ciber,43,4,0.9148936170212766
2014,54,aditi  private,43,0,1.0
2018,33,analog devices,43,0,1.0
2017,33,dehi,43,0,1.0
2012,61,of colorado,43,0,1.0
2019,54,ness,43,10,0.8113207547169812
2016,54,orion  integrators,43,4,0.9148936170212766
2013,61,johns hopkins univ,43,0,1.0
2012,54,vedicsoft,43,2,0.9555555555555556
2019,54,informatica,43,3,0.9347826086956522
2012,54,val,43,1,0.9772727272727273
2016,51,snapchat,43,0,1.0
2019,33,phillips north,43,1,0.9772727272727273
2016,61,of rochester,43,0,1.0
2013,54,ut battelle  ornl,43,0,1.0
2019,33,schneider electric,43,7,0.86
2014,54,lorven applications,43,5,0.8958333333333334
2017,54,marvell,43,13,0.7678571428571429
2013,54,research in motion,43,0,1.0
2017,54,autodesk,43,1,0.9772727272727273
2019,33,ericsson,43,2,0.9555555555555556
2012,54,manhattan,43,0,1.0
2019,51,dropbox,43,3,0.9347826086956522
2018,61,the univ of georgia oie,43,0,1.0
2014,42,a2z development ctr,43,0,1.0
2015,62,bronx lebanon hospital center,43,0,1.0
2014,51,unitedware,43,4,0.9148936170212766
2015,33,medtronic,43,0,1.0
2016,61,the univ of kentucky,43,2,0.9555555555555556
2015,54,erp analysts,43,1,0.9772727272727273
2017,61,virginia commonwealth,43,1,0.9772727272727273
2019,45,on,43,5,0.8958333333333334
2018,54,birlasoft,43,36,0.5443037974683544
2015,52,citi  markets,43,1,0.9772727272727273
2014,54,essential,42,15,0.7368421052631579
2014,54,engineering,42,2,0.9545454545454546
2019,54,remote tiger,42,30,0.5833333333333334
2012,61,univ of kentucky,42,0,1.0
2016,54,bitwise,42,2,0.9545454545454546
2017,61,temple,42,1,0.9767441860465116
2015,54,epam,42,0,1.0
2016,61,univ of houston,42,1,0.9767441860465116
2019,32,bristolmyers squibb,42,4,0.9130434782608695
2013,61,of kentucky,42,0,1.0
2012,54,ascendant,42,1,0.9767441860465116
2018,61,indiana univ purdue univ indianapl,42,1,0.9767441860465116
2019,54,uchicago argonne,42,0,1.0
2013,54,scm,42,3,0.9333333333333333
2015,61,harmony public schools,42,3,0.9333333333333333
2019,61,univ of colorado boulder,42,1,0.9767441860465116
2014,54,prosoft,42,3,0.9333333333333333
2019,61,ut health science center,42,0,1.0
2019,33,texas instruments,42,5,0.8936170212765957
2016,54,brookhaven national oratory,42,0,1.0
2015,54,igt,42,2,0.9545454545454546
2019,54,magic leap,42,5,0.8936170212765957
2018,54,inovalon,42,9,0.8235294117647058
2013,54,altair productdesign,42,8,0.84
2014,54,yash  lujan,42,25,0.6268656716417911
2015,61,carnegie mellon univ,42,0,1.0
2019,33,illumina,42,4,0.9130434782608695
2019,61,iowa state univ of science,42,1,0.9767441860465116
2016,54,brillio,42,2,0.9545454545454546
2014,61,the univ of tennessee,42,0,1.0
2012,54,lawrence berkeley natl,42,0,1.0
2018,51,tmobile,42,6,0.875
2019,32,ppd development,42,2,0.9545454545454546
2018,54,skidmore owings  merrill,42,2,0.9545454545454546
2019,54,exa,42,14,0.75
2019,61,of miami,42,0,1.0
2019,54,concur,42,2,0.9545454545454546
2019,33,intel massachusetts,42,2,0.9545454545454546
2017,54,genen,42,4,0.9130434782608695
2013,54,promatrix,42,22,0.65625
2015,52,n express travel related se,42,1,0.9767441860465116
2013,54,diaspark,42,24,0.6363636363636364
2013,54,glove,42,5,0.8936170212765957
2015,54,ventois,42,4,0.9130434782608695
2016,61,houston independent sch dist,42,0,1.0
2015,61,of kentucky,42,0,1.0
2013,54,perficient,42,0,1.0
2016,54,mythri,42,5,0.8936170212765957
2018,54,ust,42,56,0.42857142857142855
2013,33,general motors,42,1,0.9767441860465116
2012,54,mobilenet,42,0,1.0
2019,33,nxp,42,0,1.0
2018,54,randstad,42,4,0.9130434782608695
2016,61,texas  univ,42,1,0.9767441860465116
2015,61,univ of massachusetts med school,42,1,0.9767441860465116
2018,54,ut battelle  ornl,42,1,0.9767441860465116
2015,33,texas instruments,42,0,1.0
2016,54,aci,42,0,1.0
2013,61,kansas state univ,42,0,1.0
2014,54,prokarma,42,5,0.8936170212765957
2012,54,computer sciences,42,4,0.9130434782608695
2015,54,nosoft,41,1,0.9761904761904762
2014,54,cw pro,41,0,1.0
2013,61,of colorado,41,1,0.9761904761904762
2014,54,core,41,0,1.0
2016,56,grandison management,41,42,0.4939759036144578
2014,54,aztek,41,2,0.9534883720930233
2017,52,barclays,41,1,0.9761904761904762
2019,54,egen,41,33,0.5540540540540541
2012,61,univ of md baltimore,41,1,0.9761904761904762
2019,54,easi,41,2,0.9534883720930233
2018,54,hitachi,41,7,0.8541666666666666
2012,61,case western reserve univ,41,1,0.9761904761904762
2013,54,casoft,41,3,0.9318181818181818
2014,54,vsoft,41,2,0.9534883720930233
2016,54,exlcom,41,3,0.9318181818181818
2013,54,dw practice,41,0,1.0
2014,54,akamai,41,0,1.0
2016,61,wayne state,41,0,1.0
2016,54,amgen,41,0,1.0
2014,54,ibsware,41,3,0.9318181818181818
2013,54,sears,41,1,0.9761904761904762
2018,52,markit na  dba ihs markit,41,2,0.9534883720930233
2013,54,pyramid,41,3,0.9318181818181818
2016,61,kansas state,41,0,1.0
2014,62,henry ford health,41,0,1.0
2019,54,mentor graphics,41,7,0.8541666666666666
2019,52,capital one national association,41,6,0.8723404255319149
2018,33,caterpillar,41,3,0.9318181818181818
2019,33,becton dickinson and,41,3,0.9318181818181818
2013,54,symantec,41,0,1.0
2017,54,sphere institute,41,3,0.9318181818181818
2014,54,latentview analytics,41,3,0.9318181818181818
2017,54,mindlance,41,2,0.9534883720930233
2012,54,worldlink,41,0,1.0
2013,61,of arkansas for medical,41,1,0.9761904761904762
2012,54,orion  integrators,41,4,0.9111111111111111
2015,33,micron,41,0,1.0
2014,52,capital one,41,0,1.0
2018,33,texas instruments,41,0,1.0
2019,54,zs,41,126,0.24550898203592814
2016,54,gss  ct,41,6,0.8723404255319149
2017,61,ut health science ctr,41,0,1.0
2014,54,anjaneyap,41,10,0.803921568627451
2016,54,neo prism,41,6,0.8723404255319149
2018,54,ventois,41,39,0.5125
2016,54,cigniti,41,0,1.0
2015,54,systime computerdba kpit,41,0,1.0
2017,54,factset research,41,1,0.9761904761904762
2019,33,skyworks,41,1,0.9761904761904762
2017,21,schlumberger,41,1,0.9761904761904762
2016,33,marvell semiconductor,41,0,1.0
2014,54,adroixdba codeforce 360,41,1,0.9761904761904762
2016,61,univ of ne loln,41,1,0.9761904761904762
2013,54,source,41,8,0.8367346938775511
2017,54,uchicago argonne,41,0,1.0
2012,62,aegis therapies,41,0,1.0
2015,54,i28,41,1,0.9761904761904762
2013,61,washington state  biolog,41,1,0.9761904761904762
2014,54,amirit,41,0,1.0
2014,54,tts,41,0,1.0
2015,54,united,41,2,0.9534883720930233
2018,51,charter,40,2,0.9523809523809523
2015,54,appdynamics,40,1,0.975609756097561
2014,54,edgeware,40,7,0.851063829787234
2016,33,advanced micro devices,40,0,1.0
2014,54,nictek,40,5,0.8888888888888888
2019,54,neutronit,40,12,0.7692307692307693
2019,44,lowe's companies,40,1,0.975609756097561
2017,51,sprint,40,0,1.0
2017,51,fiserv,40,8,0.8333333333333334
2013,54,infosy,40,1,0.975609756097561
2016,54,genen,40,0,1.0
2013,33,applied materials,40,1,0.975609756097561
2016,61,the  of tennessee,40,1,0.975609756097561
2014,62,bronx lebanon hospital center,40,0,1.0
2014,54,srs,40,7,0.851063829787234
2018,51,indeed,40,4,0.9090909090909091
2014,54,sasken  s,40,0,1.0
2018,61,of colorado,40,0,1.0
2016,54,diaspark,40,0,1.0
2012,62,montefiore medical center,40,0,1.0
2017,54,arista,40,0,1.0
2017,54,amgen,40,1,0.975609756097561
2015,61,indiana univ purdue univ indianapo,40,0,1.0
2019,54,e,40,4,0.9090909090909091
2012,33,brocade,40,0,1.0
2019,52,db core,40,1,0.975609756097561
2014,54,sapient,40,2,0.9523809523809523
2013,54,it,40,7,0.851063829787234
2014,54,r,40,7,0.851063829787234
2012,56,volt management,40,0,1.0
2017,54,headstrong,40,12,0.7692307692307693
2016,33,medtronic,40,0,1.0
2019,52,barclays capital,40,4,0.9090909090909091
2018,62,henry ford health,40,2,0.9523809523809523
2013,61,univ of notre dame,40,0,1.0
2014,54,liquidhub,40,1,0.975609756097561
2015,61,univ of maryland baltimore,40,2,0.9523809523809523
2014,54,palvai,40,0,1.0
2019,54,didi research,40,1,0.975609756097561
2017,48,n airlines,40,2,0.9523809523809523
2012,33,philips electronics n,40,0,1.0
2019,54,mythri,40,26,0.6060606060606061
2018,33,ford motors,40,0,1.0
2014,61,univ of nebraska loln,40,0,1.0
2013,61,virginia commonwealth,40,1,0.975609756097561
2017,54,bain,40,1,0.975609756097561
2018,54,national institutes of healthhhs,40,0,1.0
2012,54,colera  previously  co,40,1,0.975609756097561
2014,54,avant,40,0,1.0
2015,33,hughes,40,0,1.0
2016,61,univ of california santa barbara,40,0,1.0
2013,33,johnson controls,40,0,1.0
2012,62,beth israel deaconess med ctr,40,0,1.0
2012,54,inductis,40,1,0.975609756097561
2018,61,the  of texas at austin,40,0,1.0
2016,54,quest,40,12,0.7692307692307693
2012,33,navistar,40,1,0.975609756097561
2016,61,the univ of tx health science ctr,40,0,1.0
2014,54,casoft,40,3,0.9302325581395349
2014,54,charter,40,4,0.9090909090909091
2012,54,quality matrix,40,4,0.9090909090909091
2017,54,easi,40,0,1.0
2016,61,weill cornell medical college,40,0,1.0
2019,52,dfs,40,0,1.0
2019,54,atronix acquisition,40,0,1.0
2014,54,trisync,40,2,0.9523809523809523
2015,54,pyramid,40,3,0.9302325581395349
2013,52,citibank na,40,0,1.0
2015,51,logic,40,0,1.0
2015,61,oregon hlth  science univ,40,0,1.0
2012,54,sriven,40,2,0.9523809523809523
2014,54,microinfo,40,1,0.975609756097561
2012,61,indiana univ,40,0,1.0
2017,45,sears s management,40,1,0.975609756097561
2017,54,pillars,40,16,0.7142857142857143
2013,62,north shore lij health,39,1,0.975
2018,61,ia state univ of science and,39,0,1.0
2014,61,univ of rochester,39,0,1.0
2015,61,albert einstein college of medicin,39,0,1.0
2016,54,yash,39,9,0.8125
2015,54,genpact,39,1,0.975
2018,56,avant healthcare professionals,39,0,1.0
2018,54,brillio,39,9,0.8125
2018,54,pvr,39,102,0.2765957446808511
2014,54,bitwise,39,1,0.975
2015,54,food and drug administration dhhs,39,1,0.975
2019,54,palantir,39,2,0.9512195121951219
2018,61,the  of tennessee,39,0,1.0
2015,61,columbia univ,39,0,1.0
2012,54,lead,39,5,0.8863636363636364
2019,61,virginia commonwealth univ,39,0,1.0
2019,52,fidelity investments,39,2,0.9512195121951219
2013,61,northeastern univ,39,0,1.0
2018,61,state univ of new york at buffalo,39,0,1.0
2018,61,univ of california santa barbara,39,1,0.975
2019,54,ics,39,8,0.8297872340425532
2017,51,nokia  and,39,1,0.975
2014,54,altair productdesign,39,2,0.9512195121951219
2013,61,tulane,39,1,0.975
2017,33,nutanix,39,0,1.0
2015,51,fiserv,39,0,1.0
2015,62,montefiore med ctr,39,0,1.0
2016,54,epam,39,1,0.975
2019,45,audible,39,0,1.0
2014,54,cnet,39,3,0.9285714285714286
2019,54,slk,39,45,0.4642857142857143
2018,33,medtronic,39,1,0.975
2017,33,dell marketing l p,39,1,0.975
2016,54,amdocs,39,2,0.9512195121951219
2019,54,epic,39,2,0.9512195121951219
2013,33,sandisk,39,0,1.0
2012,54,orian engineers,39,0,1.0
2016,61,univ of connecticut office of the,39,1,0.975
2018,52,barclays capital,39,3,0.9285714285714286
2018,52,discover products,39,1,0.975
2015,54,vigna,39,1,0.975
2018,56,moodys analytics,39,1,0.975
2012,21,conocophillips,39,1,0.975
2013,21,baker hughes,39,0,1.0
2014,54,ariston tek,39,1,0.975
2012,62,bronx lebanon hospital center,39,1,0.975
2016,52,deutsche bank securities,39,0,1.0
2019,54,lorhan,39,9,0.8125
2019,54,food  drug adminhhs,39,0,1.0
2012,61,state univ of new york at buffalo,39,1,0.975
2015,44,lowes companies,39,0,1.0
2012,51,integral development,39,0,1.0
2016,33,intel mobile,39,0,1.0
2019,54,friendly consultants,39,65,0.375
2015,61,case western reserve univ,39,0,1.0
2016,61,of louisville,39,2,0.9512195121951219
2013,54,cpsg partners,39,0,1.0
2014,61,virginia commonwealth univ,39,1,0.975
2014,54,8k milesware,39,1,0.975
2013,32,kvk,39,2,0.9512195121951219
2016,33,trw automotive,39,0,1.0
2016,48,n airlines,39,1,0.975
2014,61,kansas state,39,1,0.975
2019,54,yash,39,4,0.9069767441860465
2017,61,virginia polynic institute  s,39,1,0.975
2015,51,nokia  and,39,0,1.0
2012,54,photon,39,0,1.0
2016,54,code ace,39,3,0.9285714285714286
2012,54,genpact,39,1,0.975
