Fiscal Year,NAICS,Employer,sum(Initial Approvals),sum(Initial Denials),ApprovalRate
2017,54,capgemini,533,131,0.802710843373494
2014,54,mindtree,529,12,0.977818853974122
2015,33,apple,528,8,0.9850746268656716
2014,54,pricewaterhousecoopers,521,16,0.9702048417132216
2013,54,capgemini,511,69,0.8810344827586207
2016,54,pricewaterhousecoopers,511,18,0.9659735349716446
2018,54,cognizant,503,794,0.38781804163454126
2019,52,goldman sachs,497,53,0.9036363636363637
2012,54,ernst  young u s,497,0,1.0
2013,54,ust,496,8,0.9841269841269841
2019,54,ernst  young,494,106,0.8233333333333334
2014,54,ernst  young,492,3,0.9939393939393939
2019,54,uber,489,37,0.9296577946768061
2014,54,csc covansys,486,40,0.9239543726235742
2014,33,apple,483,1,0.9979338842975206
2017,33,cisco,479,5,0.9896694214876033
2017,54,ernst  young,479,12,0.9755600814663951
2015,54,mindtree,475,12,0.9753593429158111
2013,54,mahindra,472,28,0.944
2019,45,walmart,462,17,0.964509394572025
2016,51,facebook,462,1,0.9978401727861771
2012,54,deloitte  touche,457,3,0.9934782608695653
2019,54,hcl,455,238,0.6565656565656566
2013,54,pricewaterhousecoopers,440,7,0.9843400447427293
2015,51,oracle,435,2,0.9954233409610984
2019,55,jpmorgan chase  co,432,36,0.9230769230769231
2014,54,ust,427,13,0.9704545454545455
2012,54,ust,418,11,0.9743589743589743
2014,54,mphasis,413,24,0.9450800915331807
2012,51,oracle,412,0,1.0
2017,51,oracle,409,14,0.966903073286052
2015,51,facebook,405,0,1.0
2016,51,oracle,404,5,0.9877750611246944
2014,33,qualcomm,402,3,0.9925925925925926
2012,33,qualcomm nolgies,393,0,1.0
2014,51,oracle,391,2,0.9949109414758269
2013,54,ernst  young,389,4,0.989821882951654
2013,33,cisco,386,3,0.9922879177377892
2019,54,mphasis,385,94,0.8037578288100209
2019,51,amazon,384,21,0.9481481481481482
2016,33,cisco,383,3,0.9922279792746114
2012,54,kpit info,380,2,0.9947643979057592
2018,54,accenture,363,162,0.6914285714285714
2012,54,hexaware,362,12,0.9679144385026738
2017,54,pricewaterhousecoopers,349,4,0.9886685552407932
2013,54,ntt   formerly keane,348,16,0.9560439560439561
2014,54,,346,46,0.8826530612244898
2018,45,walmart,340,35,0.9066666666666666
2019,54,pricewaterhousecoopers,336,71,0.8255528255528255
2012,33,cisco,335,3,0.9911242603550295
2013,51,facebook,334,5,0.9852507374631269
2019,54,deloitte  touche,334,78,0.8106796116504854
2019,33,tesla,334,22,0.9382022471910112
2013,51,oracle,332,1,0.996996996996997
2012,54,kpmg,331,0,1.0
2018,33,cisco,329,13,0.9619883040935673
2019,54,cerner,325,8,0.975975975975976
2018,55,jpmorgan chase  co,324,8,0.9759036144578314
2013,54,patni,322,99,0.7648456057007126
2012,33,cummins,322,2,0.9938271604938271
2016,54,mindtree,320,12,0.963855421686747
2017,51,yahoo,319,1,0.996875
2019,54,sap,318,25,0.9271137026239067
2019,33,nvidia,317,12,0.9635258358662614
2012,51,facebook,315,2,0.9936908517350158
2018,33,cummins,315,11,0.9662576687116564
2012,33,apple,313,2,0.9936507936507937
2013,54,deloitte  touche,312,2,0.9936305732484076
2018,54,ibm,310,3,0.9904153354632588
2017,54,ust,308,44,0.875
2019,51,oath s,306,24,0.9272727272727272
2017,54,mphasis,303,14,0.9558359621451105
2015,54,deloitte  touche,303,22,0.9323076923076923
2013,54,mindtree,303,21,0.9351851851851852
2015,55,jpmorgan chase  co,303,2,0.9934426229508196
2017,33,qualcomm,301,1,0.9966887417218543
2014,33,cisco,300,7,0.9771986970684039
2019,33,cummins,299,4,0.9867986798679867
2015,54,lt,299,9,0.9707792207792207
2013,54,zensar,298,6,0.9802631578947368
2014,51,facebook,297,2,0.9933110367892977
2014,54,satyam computer,297,39,0.8839285714285714
2012,54,mindtree,296,3,0.9899665551839465
2013,33,apple,294,1,0.9966101694915255
2015,54,ust,289,12,0.9601328903654485
2014,54,synechron,287,8,0.9728813559322034
2017,54,synechron,286,2,0.9930555555555556
2014,54,deloitte  touche,284,10,0.9659863945578231
2016,54,ust,284,13,0.9562289562289562
2018,54,wipro,283,111,0.7182741116751269
2014,54,computer sciences,282,28,0.9096774193548387
2019,51,linkedin,282,7,0.9757785467128027
2016,55,jpmorgan chase  co,279,0,1.0
2015,54,mphasis,273,5,0.9820143884892086
2017,54,pricewaterhousecoopers advisory se,273,7,0.975
2019,52,paypal,272,10,0.9645390070921985
2018,54,capgemini,272,1068,0.20298507462686566
2019,54,salesforce,271,12,0.9575971731448764
2018,54,deloitte  touche,270,58,0.823170731707317
2015,33,cisco,270,3,0.989010989010989
2017,54,ibm,270,8,0.9712230215827338
2017,54,lt,270,5,0.9818181818181818
2014,55,jpmorgan chase  co,267,3,0.9888888888888889
2016,54,deloitte  touche,267,37,0.8782894736842105
2016,54,igate,265,16,0.9430604982206405
2013,54,hexaware,263,18,0.9359430604982206
2014,51,yahoo,263,18,0.9359430604982206
2019,54,mckinsey,261,85,0.7543352601156069
2019,54,vmware,260,17,0.9386281588447654
2013,54,ibm,260,5,0.9811320754716981
2015,51,yahoo,259,1,0.9961538461538462
2018,54,lt,257,50,0.8371335504885994
2019,54,ntt,253,48,0.840531561461794
2016,54,ibm,252,1,0.9960474308300395
2019,54,syntel,252,352,0.41721854304635764
2016,52,goldman sachs  co,250,4,0.984251968503937
2012,54,igate   an igate co,249,44,0.8498293515358362
2013,54,polarisware  india,248,1,0.9959839357429718
2017,54,ntt,246,29,0.8945454545454545
2019,51,bloomberg,244,18,0.9312977099236641
2019,54,hexaware,242,24,0.9097744360902256
2017,55,jpmorgan chase  co,238,3,0.9875518672199171
2019,54,lt,236,17,0.932806324110672
2019,54,pricewaterhousecoopers advisory se,234,79,0.7476038338658147
2012,54,ibm,233,1,0.9957264957264957
2015,54,,230,43,0.8424908424908425
2014,54,hexaware,229,16,0.9346938775510204
2013,54,cerner,228,2,0.991304347826087
2016,56,populus,228,34,0.8702290076335878
2012,54,cgi  and,227,1,0.9956140350877193
2015,54,ntt,226,19,0.9224489795918367
2018,51,bloomberg,225,4,0.982532751091703
2017,54,deloitt touche,225,44,0.8364312267657993
2015,52,goldman sachs  co,224,2,0.9911504424778761
2015,54,hexaware,220,9,0.9606986899563319
2014,61,univ of michigan,220,0,1.0
2012,54,birlasoft,220,1,0.995475113122172
2017,52,goldman sachs  co,219,6,0.9733333333333334
2016,61,the leland stanford jr,219,0,1.0
2014,54,enterprises,219,10,0.9563318777292577
2013,55,jpmorgan chase  co,218,1,0.9954337899543378
2015,33,qualcomm,217,0,1.0
2019,52,morgan stanley,217,18,0.9234042553191489
2019,54,,216,75,0.7422680412371134
2012,55,jpmorgan chase  co,216,1,0.9953917050691244
2014,54,deloitte tax,216,4,0.9818181818181818
2014,52,goldman sachs  co,215,0,1.0
2019,54,synechron,213,9,0.9594594594594594
2018,51,amazon,213,12,0.9466666666666667
2019,45,wayfair,213,44,0.8287937743190662
2013,61,univ of mi,213,2,0.9906976744186047
2017,54,hexaware,212,16,0.9298245614035088
2012,54,keane,212,6,0.9724770642201835
2017,54,larsen  toubro,211,15,0.9336283185840708
2016,51,yahoo,211,2,0.9906103286384976
2019,45,ebay,211,12,0.9461883408071748
2017,61,univ of michigan,210,1,0.995260663507109
2015,54,ibm,210,2,0.9905660377358491
2018,54,hcl,209,106,0.6634920634920635
2014,54,ibm,209,6,0.9720930232558139
2012,54,polarisware,207,2,0.9904306220095693
2013,54,deloitte tax,207,0,1.0
2019,52,bank of  na,206,20,0.911504424778761
2019,61,the leland stanford jr univ,206,0,1.0
2013,54,headstrong,204,1,0.9951219512195122
2014,54,persistent,204,11,0.9488372093023256
2016,61,of michigan,204,1,0.9951219512195122
2015,54,deloitte tax,203,5,0.9759615384615384
2016,54,pricewaterhousecoopers advisory se,203,2,0.9902439024390244
2015,61,of michigan,203,2,0.9902439024390244
2015,54,kpmg,203,0,1.0
2018,54,ntt,201,51,0.7976190476190477
2019,33,micron,200,9,0.9569377990430622
2017,33,tesla motors,197,2,0.9899497487437185
2019,61,univ of michigan,197,0,1.0
2016,54,kpmg,197,2,0.9899497487437185
2018,52,goldman sachs  co,196,55,0.7808764940239044
2018,61,the leland stanford jr,195,1,0.9948979591836735
2017,51,bloomberg,194,0,1.0
2012,54,,194,38,0.8362068965517241
2012,54,htc,194,2,0.9897959183673469
2017,61,the leland stanford jr univ,194,1,0.9948717948717949
2014,54,cerner,194,3,0.9847715736040609
2017,56,populus,193,32,0.8577777777777778
2013,52,goldman sachs  co,191,1,0.9947916666666666
2019,56,management hlth sys  dba medpro,190,21,0.9004739336492891
2018,54,mckinsey  united states,190,52,0.7851239669421488
2016,54,mphasis,189,3,0.984375
2014,33,cummins,189,2,0.9895287958115183
2019,54,pioneer,189,81,0.7
2018,52,morgan stanley,188,21,0.8995215311004785
2013,54,,188,27,0.8744186046511628
2013,54,oracle  ware,187,2,0.9894179894179894
2016,54,hexaware,186,8,0.9587628865979382
2012,33,dell marketing,186,0,1.0
2019,54,kpmg,185,12,0.9390862944162437
2019,54,mar,185,46,0.8008658008658008
2015,33,cummins,184,4,0.9787234042553191
2012,33,nvidia,184,2,0.989247311827957
2014,54,kpmg,183,1,0.9945652173913043
2019,54,kforce,183,76,0.7065637065637066
2012,61,stanford univ,182,1,0.994535519125683
2014,54,ntt,181,17,0.9141414141414141
2018,52,bank of  n a,181,7,0.9627659574468085
2014,54,ntt   formerly keane,181,10,0.9476439790575916
2017,54,vmware,181,0,1.0
