skill,salary
Kubernetes,77700
Kubernetes,77700
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82000
Kubernetes,82200
Kubernetes,82400
Kubernetes,82400
Kubernetes,83000
Kubernetes,83000
Kubernetes,83000
Kubernetes,85300
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,88586
Kubernetes,88900
Kubernetes,88900
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,89000
Kubernetes,90000
Kubernetes,90646
Kubernetes,90700
Kubernetes,90700
Kubernetes,90700
Kubernetes,90700
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91700
Kubernetes,91700
Kubernetes,91700
Kubernetes,95000
Kubernetes,99300
Kubernetes,99300
Kubernetes,99900
Kubernetes,67100
Kubernetes,72000
Kubernetes,74402
Kubernetes,74402
Kubernetes,77000
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,77700
Kubernetes,84000
Kubernetes,85197
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85500
Kubernetes,85530
Kubernetes,85530
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,86000
Kubernetes,87700
Kubernetes,90646
Kubernetes,90646
Kubernetes,90646
Kubernetes,90646
Kubernetes,90646
Kubernetes,90646
Kubernetes,90700
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
Kubernetes,91000
